seller_id,seller_name,category,months_active,current_fulfilment,monthly_orders,aov_gbp,monthly_gmv_gbp,gross_margin,sku_count,seller_rating,avg_parcel_weight_kg,avg_parcel_volume_l,late_dispatch_rate_pct,cancellation_rate_pct,avg_delivery_days,return_rate_pct,eligible,fbt_fit_score,score_pain,score_scale,score_headroom,est_current_cost_per_order_gbp,est_fbt_cost_per_order_gbp,est_monthly_fulfilment_saving_gbp,projected_volume_uplift_pct,projected_monthly_gmv_gain_gbp,priority,rank
S0114,Wilder Collective,Health Foods,5,Self-fulfilled,826,27.69,22871.94,0.363,85,4.31,2.67,6.71,19.17,5.01,2.84,1.9,True,59.1,66.1,43.9,38.7,5.49,3.95,1272.04,23.8,5443.52,Warm,52
S0115,Bramble Goods,Snacks & Confectionery,44,Self-fulfilled,116,17.28,2004.48,0.394,99,3.85,2.26,4.73,10.7,4.71,3.28,4.21,True,46.1,50.3,15.5,44.4,5.4,3.89,175.16,19.1,382.86,Watch,146
S0116,Orla Labs,Beverages,33,Self-fulfilled,434,11.3,4904.2,0.301,45,3.99,68.69,149.05,4.18,2.39,3.21,4.24,False,14.3,28.8,34.6,27.5,20.01,14.41,2430.4,12.6,617.93,Low,191
S0117,Halcyon Naturals,Household & Cleaning,22,3PL,565,17.49,9881.85,0.306,61,4.57,5.16,10.16,6.44,3.69,3.39,2.75,True,45.8,38.8,38.4,28.4,5.24,3.77,830.55,15.6,1541.57,Watch,150
S0118,Tally Naturals,Snacks & Confectionery,41,FBT-already,228,16.15,3682.2,0.296,75,3.75,2.95,7.27,0.85,1.48,1.2,7.84,True,0,7.8,25.3,26.5,3.95,2.84,253.08,6.3,231.98,Low,
S0119,Nimbus Craft,Personal Care,16,3PL,619,18.36,11364.84,0.412,19,4.27,1.25,1.6,6.35,5.03,3.54,4.17,True,51.8,43.9,39.7,47.6,4.38,3.15,761.37,17.2,1954.75,Warm,115
S0120,Bramble Botanics,Beverages,40,Self-fulfilled,496,15.58,7727.68,0.19,117,3.69,71.89,163.66,17.55,8.84,4.33,4.36,False,19.9,83.9,36.5,7.3,20.72,14.92,2876.8,29.2,2256.48,Low,185
S0121,Marlow Provisions,Personal Care,27,Self-fulfilled,1692,20.33,34398.36,0.544,47,3.75,2.48,4.34,5.42,8.84,4.95,7.05,True,67.5,62.5,54.3,71.6,5.45,3.92,2588.76,22.7,7808.43,Warm,17
S0122,Marlow Craft,Supplements & Vitamins,37,Self-fulfilled,577,28.28,16317.56,0.489,27,4.82,1.14,1.55,18.38,4.64,4.73,8.07,True,64.8,73.8,38.7,61.6,5.15,3.71,830.88,26.1,4258.88,Warm,25
S0123,Brisk Botanics,Beverages,7,Self-fulfilled,1022,18.37,18774.14,0.244,32,4.3,9.54,13.32,21.88,3.26,5.22,5.61,True,60.2,79.1,47.0,17.1,7.0,5.04,2003.12,27.7,5200.44,Warm,43
S0124,Frost Naturals,Household & Cleaning,46,3PL,611,12.68,7747.48,0.327,97,4.79,5.31,10.06,11.71,5.71,3.41,7.29,True,53.0,56.4,39.5,32.2,5.27,3.79,904.28,20.9,1619.22,Warm,102
S0125,Halcyon Kitchen,Supplements & Vitamins,29,Self-fulfilled,338,28.68,9693.84,0.662,41,4.71,0.39,0.72,4.09,4.6,3.57,5.24,True,56.2,38.0,31.0,93.1,4.99,3.59,473.2,15.4,1492.85,Warm,80
S0126,Brisk Supply,Personal Care,16,Self-fulfilled,225,16.79,3777.75,0.518,109,3.85,0.82,1.76,14.46,8.05,2.82,7.09,True,59.2,66.5,25.1,66.9,5.08,3.66,319.5,24.0,906.66,Warm,49
S0127,Tally Wellness,Health Foods,16,Self-fulfilled,1728,27.23,47053.44,0.303,27,4.85,0.94,2.44,12.1,3.32,4.19,2.64,True,55.7,53.5,54.6,27.8,5.11,3.68,2471.04,20.1,9457.74,Warm,83
S0128,Piper Nutrition,Snacks & Confectionery,21,Self-fulfilled,797,10.4,8288.8,0.383,66,4.21,2.87,6.35,17.47,3.9,2.87,3.5,True,57.2,59.1,43.4,42.4,5.53,3.98,1235.35,21.7,1798.67,Warm,73
S0129,Selkie Provisions,Beverages,17,3PL,1168,12.13,14167.84,0.211,32,4.09,10.33,21.86,8.69,2.29,3.77,8.73,True,46.2,40.8,48.9,11.1,6.37,4.59,2079.04,16.2,2295.19,Watch,145
S0130,Bramble Goods,Health Foods,32,Self-fulfilled,1271,22.97,29194.87,0.407,120,4.76,4.96,12.6,12.95,7.79,2.45,7.54,True,60.6,60.5,50.1,46.7,5.99,4.31,2135.28,22.2,6481.26,Warm,42
S0131,Quill & Co,Beverages,29,Self-fulfilled,912,10.11,9220.32,0.215,61,4.09,8.18,16.88,12.18,5.16,2.22,5.41,True,48.1,48.9,45.3,11.8,6.7,4.82,1714.56,18.7,1724.2,Watch,137
S0132,Bright Wellness,Beverages,20,3PL,379,17.77,6734.83,0.249,119,3.83,11.18,17.19,8.01,2.26,2.65,7.36,True,40.0,33.1,32.6,18.0,6.56,4.72,697.36,13.9,936.14,Watch,174
S0133,Hale Kitchen,Beverages,32,3PL,4759,17.15,81616.85,0.317,100,3.64,6.05,11.29,8.19,4.51,2.0,7.76,True,54.9,37.3,69.3,30.4,5.43,3.91,7233.68,15.2,12405.76,Warm,90
S0134,Marram Nutrition,Health Foods,39,FBT-already,1703,26.22,44652.66,0.452,75,4.22,0.61,0.8,2.8,2.28,1.68,1.26,True,0,17.1,54.4,54.9,3.43,2.47,1634.88,9.1,4063.39,Low,
S0135,Bright Botanics,Supplements & Vitamins,40,Self-fulfilled,1891,31.48,59528.68,0.592,111,4.11,1.37,2.28,17.36,2.55,5.46,6.79,True,71.9,68.8,55.9,80.4,5.2,3.74,2760.86,24.6,14644.06,Hot,5
S0136,Bramble Nutrition,Household & Cleaning,6,Self-fulfilled,469,13.26,6218.94,0.33,79,4.12,36.5,94.52,12.32,4.17,5.31,4.45,False,19.0,63.0,35.7,32.7,12.93,9.31,1697.78,22.9,1424.14,Low,188
S0137,Selkie Craft,Health Foods,27,Self-fulfilled,1820,22.84,41568.8,0.318,22,4.09,4.01,5.68,10.4,4.21,2.5,8.54,True,53.0,43.6,55.3,30.5,5.78,4.16,2948.4,17.1,7108.26,Warm,103
S0138,Hale Naturals,Personal Care,20,Self-fulfilled,239,20.7,4947.3,0.513,16,3.63,1.01,1.34,14.36,3.93,3.47,3.33,True,55.7,56.2,25.9,66.0,5.12,3.69,341.77,20.9,1033.99,Warm,84
S0139,Quill Foods,Personal Care,38,FBT-already,322,11.92,3838.24,0.466,66,3.79,0.58,0.92,1.11,2.02,1.43,8.55,True,0,11.4,30.3,57.5,3.43,2.47,309.12,7.4,284.03,Low,
S0140,Grove Goods,Health Foods,41,3PL,681,10.12,6891.72,0.387,110,4.41,4.1,6.81,5.01,5.08,3.86,8.79,True,51.0,43.1,41.1,43.1,5.0,3.6,953.4,16.9,1164.7,Warm,123
S0141,Wilder Nutrition,Snacks & Confectionery,41,FBT-already,374,19.54,7307.96,0.474,40,4.56,2.33,5.95,2.41,1.02,1.34,7.29,True,0,10.2,32.4,58.9,3.81,2.74,400.18,7.1,518.87,Low,
S0142,Nimbus Collective,Supplements & Vitamins,39,Self-fulfilled,80,39.77,3181.6,0.467,111,4.63,0.73,1.39,15.03,3.32,4.37,6.72,True,50.7,60.5,10.1,57.6,5.06,3.64,113.6,22.2,706.32,Warm,125
S0143,Kova Goods,Personal Care,41,Self-fulfilled,538,28.33,15241.54,0.552,72,3.65,2.43,5.3,18.43,5.95,5.22,1.87,True,69.3,81.0,37.7,73.1,5.43,3.91,817.76,28.3,4313.36,Warm,12
S0144,Tally Craft,Snacks & Confectionery,25,Self-fulfilled,1094,15.39,16836.66,0.409,99,4.03,2.85,3.84,4.87,3.17,4.66,5.46,True,53.1,40.9,48.0,47.1,5.53,3.98,1695.7,16.3,2744.38,Warm,100
S0145,Selkie Botanics,Health Foods,31,Self-fulfilled,615,22.43,13794.45,0.333,6,4.23,1.76,4.38,4.63,7.73,4.61,3.79,True,52.9,55.3,39.6,33.3,5.29,3.81,910.2,20.6,2841.66,Warm,104
S0146,Marlow Naturals,Supplements & Vitamins,16,3PL,567,36.38,20627.46,0.563,11,3.99,1.25,1.7,10.42,4.24,3.43,2.31,True,58.7,48.9,38.5,75.1,4.38,3.15,697.41,18.7,3857.34,Warm,59
S0147,Brisk Wellness,Health Foods,14,3PL,466,18.32,8537.12,0.476,83,3.84,3.35,6.05,1.81,4.07,2.27,5.74,True,46.1,24.3,35.6,59.3,4.84,3.48,633.76,11.3,964.69,Watch,147
S0148,Bright Home,Personal Care,16,Self-fulfilled,5635,10.31,58096.85,0.422,114,4.3,1.04,1.53,5.17,6.53,3.82,8.73,True,63.2,48.0,71.7,49.5,5.13,3.69,8114.4,18.4,10689.82,Warm,31
S0149,Frost Kitchen,Supplements & Vitamins,42,Self-fulfilled,293,28.19,8259.67,0.493,89,4.52,0.59,1.22,4.61,2.5,2.59,3.44,True,45.5,26.6,28.9,62.4,5.03,3.62,413.13,12.0,991.16,Watch,153
S0150,Hale Home,Snacks & Confectionery,12,3PL,634,11.99,7601.66,0.317,84,4.3,3.24,8.11,3.32,1.83,2.49,2.5,True,40.5,21.2,40.1,30.4,4.81,3.46,855.9,10.4,790.57,Watch,172
S0151,Frost & Co,Personal Care,25,FBT-already,713,17.06,12163.78,0.524,86,4.24,1.77,3.15,2.57,1.38,1.1,1.25,True,0,10.4,41.8,68.0,3.69,2.66,734.39,7.1,863.63,Low,
S0152,Wilder & Co,Snacks & Confectionery,20,Self-fulfilled,165,14.35,2367.75,0.435,66,4.31,0.66,0.9,17.73,7.67,3.41,7.58,True,57.9,75.2,20.6,51.8,5.05,3.64,232.65,26.6,629.82,Warm,67
S0153,Quill Home,Beverages,31,3PL,5707,12.17,69454.19,0.34,60,3.94,89.14,121.62,10.02,2.05,3.57,6.51,False,20.3,41.6,71.9,34.5,23.71,17.07,37894.48,16.5,11459.94,Low,183
S0154,Frost Craft,Health Foods,30,Self-fulfilled,364,13.72,4994.08,0.313,47,4.29,3.15,4.52,21.6,3.69,4.09,8.62,True,56.3,73.6,32.0,29.6,5.59,4.02,571.48,26.1,1303.45,Warm,79
S0155,Tally Provisions,Household & Cleaning,9,Self-fulfilled,1416,6.71,9501.36,0.27,86,3.76,7.04,15.46,18.74,7.21,4.43,4.92,True,63.4,81.4,51.7,21.8,6.45,4.64,2562.96,28.4,2698.39,Warm,29
S0156,Grove Supply,Household & Cleaning,43,Self-fulfilled,600,16.56,9936.0,0.237,68,4.57,5.8,10.65,12.27,5.86,5.07,7.78,True,53.5,67.2,39.3,15.8,6.18,4.45,1038.0,24.2,2404.51,Warm,97
S0157,Bramble Goods,Beverages,43,3PL,581,15.48,8993.88,0.215,57,4.67,6.95,11.1,7.25,1.65,3.85,7.31,True,41.7,36.2,38.8,11.8,5.63,4.05,917.98,14.8,1331.09,Watch,170
S0158,Quill & Co,Health Foods,5,Self-fulfilled,1654,12.24,20244.96,0.489,59,4.19,4.96,8.92,21.92,8.32,5.11,3.41,True,76.9,95.4,54.0,61.6,5.99,4.31,2778.72,30,6073.49,Hot,2
S0159,Kova Craft,Supplements & Vitamins,26,Self-fulfilled,93,19.13,1779.09,0.549,42,4.54,1.18,2.13,4.73,2.21,2.9,1.62,True,42.9,27.6,12.3,72.5,5.16,3.72,133.92,12.3,218.83,Watch,163
S0160,Brisk Wellness,Household & Cleaning,46,Self-fulfilled,231,7.45,1720.95,0.375,91,3.77,1.31,2.91,4.95,3.85,5.11,2.1,True,46.8,45.8,25.5,40.9,5.19,3.74,334.95,17.7,304.61,Watch,144
S0161,Grove Craft,Snacks & Confectionery,12,Self-fulfilled,944,9.13,8618.72,0.35,30,4.42,0.78,1.39,16.04,7.95,2.49,1.8,True,59.7,67.6,45.8,36.4,5.07,3.65,1340.48,24.3,2094.35,Warm,44
S0162,Selkie Home,Beverages,27,Self-fulfilled,436,11.47,5000.92,0.283,34,4.32,8.0,18.32,16.12,7.86,4.37,3.41,True,57.5,77.9,34.6,24.2,6.66,4.8,810.96,27.4,1370.25,Warm,70
S0163,Frost Wellness,Household & Cleaning,15,3PL,526,16.77,8821.02,0.392,66,4.1,2.54,3.3,10.83,1.06,2.67,3.53,True,47.2,35.0,37.4,44.0,4.66,3.36,683.8,14.5,1279.05,Watch,142
S0164,Selkie Kitchen,Personal Care,26,3PL,282,29.73,8383.86,0.416,78,3.69,0.8,1.0,2.13,4.95,3.02,6.03,True,44.4,32.1,28.3,48.4,4.28,3.08,338.4,13.6,1140.2,Watch,158
S0165,Quill Kitchen,Household & Cleaning,30,3PL,182,13.39,2436.98,0.27,42,3.7,7.43,10.53,4.93,3.93,3.63,6.2,True,39.2,37.8,22.0,21.8,5.73,4.13,291.2,15.3,372.86,Watch,176
S0166,Kova Supply,Health Foods,47,Self-fulfilled,1843,14.4,26539.2,0.503,17,4.19,3.2,5.23,17.09,7.05,2.59,6.66,True,68.0,67.3,55.5,64.2,5.6,4.03,2893.51,24.2,6422.49,Warm,14
S0167,Bright Labs,Health Foods,34,FBT-already,865,22.97,19869.05,0.337,19,4.57,4.42,9.84,0.62,2.28,1.4,4.43,True,0,11.1,44.6,34.0,4.27,3.07,1038.0,7.3,1450.44,Low,
S0168,Kova Supply,Household & Cleaning,48,FBT-already,1086,12.13,13173.18,0.23,112,4.34,3.45,4.64,1.85,1.89,1.27,5.07,True,0,11.6,47.9,14.5,4.06,2.92,1238.04,7.5,987.99,Low,
S0169,Bright Botanics,Beverages,5,Self-fulfilled,594,21.04,12497.76,0.317,73,4.64,9.14,13.84,7.72,8.37,3.26,7.61,True,52.5,56.2,39.1,30.4,6.91,4.98,1146.42,20.9,2612.03,Warm,109
S0170,Hale Foods,Household & Cleaning,35,3PL,302,12.19,3681.38,0.228,54,3.69,4.15,9.89,4.94,3.77,1.82,2.61,True,36.2,27.2,29.3,14.2,5.01,3.61,422.8,12.2,449.13,Watch,180
S0171,Marram Supply,Household & Cleaning,42,Self-fulfilled,1622,15.55,25222.1,0.247,55,3.63,4.7,10.2,3.18,4.01,4.7,4.01,True,48.8,40.4,53.7,17.6,5.93,4.27,2692.52,16.1,4060.76,Watch,134
S0172,Bramble Supply,Health Foods,9,Self-fulfilled,2658,27.3,72563.4,0.514,21,4.53,0.83,2.07,20.05,5.4,4.51,3.98,True,74.0,78.5,60.8,66.2,5.08,3.66,3774.36,27.6,20027.5,Hot,3
S0173,Kova Drinks,Health Foods,9,3PL,1042,20.65,21517.3,0.314,87,4.85,1.49,2.33,4.81,5.0,3.48,6.88,True,49.2,40.3,47.3,29.8,4.43,3.19,1292.08,16.1,3464.29,Watch,132
S0174,Marlow Supply,Supplements & Vitamins,17,Self-fulfilled,91,32.13,2923.83,0.489,24,4.18,0.61,0.84,9.81,7.28,3.69,4.71,True,51.7,59.3,12.0,61.6,5.03,3.62,128.31,21.8,637.39,Warm,117
S0175,Kova Labs,Beverages,46,Self-fulfilled,1630,11.01,17946.3,0.317,21,3.72,4.48,8.6,15.87,3.45,5.47,1.25,True,61.3,68.8,53.7,30.4,5.89,4.24,2689.5,24.6,4414.79,Warm,39
S0176,Marlow Wellness,Personal Care,38,Self-fulfilled,545,11.94,6507.3,0.403,109,4.62,0.71,1.05,10.61,6.65,5.29,1.67,True,59.3,67.7,37.9,46.0,5.06,3.64,773.9,24.3,1581.27,Warm,48
S0177,Loom Collective,Household & Cleaning,7,Self-fulfilled,664,16.86,11195.04,0.369,45,3.76,65.63,118.56,16.76,5.22,3.46,4.41,False,20.3,65.3,40.7,39.8,19.34,13.92,3598.88,23.6,2642.03,Low,184
S0178,Fenn Collective,Supplements & Vitamins,14,Self-fulfilled,666,33.04,22004.64,0.604,85,3.98,0.74,1.46,4.16,3.6,2.65,2.6,True,54.1,29.7,40.8,82.5,5.06,3.64,945.72,12.9,2838.6,Warm,94
S0179,Brisk Craft,Household & Cleaning,37,3PL,455,11.82,5378.1,0.384,67,4.02,19.76,24.52,10.01,2.4,3.74,4.77,True,49.4,43.7,35.3,42.5,8.45,6.08,1078.35,17.1,919.66,Watch,130
S0180,Quill Drinks,Supplements & Vitamins,17,FBT-already,121,22.26,2693.46,0.654,120,4.56,1.19,3.01,1.85,2.46,1.47,8.48,True,0,14.6,16.1,91.6,3.56,2.56,121.0,8.4,226.25,Low,
S0181,Orla Botanics,Snacks & Confectionery,40,Self-fulfilled,1304,14.69,19155.76,0.421,48,4.83,2.1,4.18,6.58,8.91,5.11,4.94,True,63.1,66.0,50.5,49.3,5.36,3.86,1956.0,23.8,4559.07,Warm,33
S0182,Orla Goods,Supplements & Vitamins,5,Self-fulfilled,433,30.32,13128.56,0.45,120,4.4,1.25,2.1,6.37,7.52,5.07,1.48,True,57.5,60.7,34.5,54.5,5.18,3.73,627.85,22.2,2914.54,Warm,71
S0183,Selkie Home,Snacks & Confectionery,12,3PL,2287,19.25,44024.75,0.359,15,4.04,1.33,3.41,9.19,3.18,3.33,4.9,True,55.0,42.3,58.6,38.0,4.39,3.16,2813.01,16.7,7352.13,Warm,88
S0184,Orla Home,Supplements & Vitamins,38,3PL,259,19.44,5034.96,0.527,91,3.98,0.43,0.52,8.87,3.86,3.84,7.17,True,53.2,46.8,27.1,68.5,4.19,3.02,303.03,18.0,906.29,Warm,99
S0185,Pure Labs,Household & Cleaning,41,Self-fulfilled,2507,13.68,34295.76,0.239,66,3.78,6.17,15.89,6.19,8.14,2.49,6.67,True,53.1,48.1,60.0,16.2,6.26,4.51,4387.25,18.4,6310.42,Warm,101
S0186,Bramble Collective,Health Foods,24,Self-fulfilled,453,11.22,5082.66,0.356,16,4.54,0.62,1.12,10.97,2.75,3.57,8.05,True,49.1,45.9,35.2,37.5,5.04,3.63,638.73,17.8,904.71,Watch,133
S0187,Piper Kitchen,Supplements & Vitamins,9,3PL,2114,37.51,79296.14,0.506,60,3.7,1.3,2.1,4.85,5.76,1.98,2.36,True,57.3,34.6,57.5,64.7,4.39,3.16,2600.22,14.4,11418.64,Warm,72
S0188,Orla Home,Personal Care,7,3PL,1070,19.14,20479.8,0.407,86,3.81,2.25,3.19,2.56,2.03,2.26,6.58,True,45.3,19.0,47.6,46.7,4.59,3.3,1380.3,9.7,1986.54,Watch,154
S0189,Bramble Wellness,Health Foods,19,3PL,520,17.07,8876.4,0.421,65,3.8,2.06,3.71,4.59,4.31,3.24,2.6,True,48.7,36.2,37.2,49.3,4.55,3.28,660.4,14.9,1322.58,Watch,135
S0190,Fenn Labs,Beverages,43,Self-fulfilled,449,14.85,6667.65,0.286,14,4.43,5.88,10.2,6.55,1.83,3.65,3.11,True,42.4,34.2,35.1,24.7,6.19,4.46,776.77,14.3,953.47,Watch,166
S0191,Selkie & Co,Supplements & Vitamins,12,3PL,975,24.66,24043.5,0.585,99,4.37,0.92,2.19,10.09,3.09,3.09,7.94,True,59.6,42.5,46.3,79.1,4.3,3.1,1170.0,16.8,4039.31,Warm,46
S0192,Selkie Collective,Personal Care,18,Self-fulfilled,1428,27.91,39855.48,0.576,89,4.88,0.54,1.37,11.53,8.62,2.75,2.7,True,67.8,62.0,51.8,77.5,5.02,3.61,2013.48,22.6,9007.34,Warm,15
S0193,Vale & Co,Snacks & Confectionery,30,Self-fulfilled,1047,17.69,18521.43,0.31,79,3.94,3.21,7.96,4.27,4.41,3.51,3.61,True,48.1,37.4,47.3,29.1,5.61,4.04,1643.79,15.2,2815.26,Watch,138
S0194,Ember Goods,Supplements & Vitamins,3,3PL,1094,27.01,29548.94,0.554,21,4.34,0.96,2.45,2.55,1.53,3.67,7.29,True,52.9,25.1,48.0,73.5,4.31,3.1,1323.74,11.5,3398.13,Warm,105
S0195,Hale Collective,Household & Cleaning,29,Self-fulfilled,1284,11.68,14997.12,0.251,54,3.79,5.18,6.5,19.9,3.99,2.98,6.97,True,56.5,65.0,50.3,18.4,6.04,4.35,2169.96,23.5,3524.32,Warm,77
S0196,Hale & Co,Supplements & Vitamins,24,3PL,481,29.24,14064.44,0.624,15,4.86,0.5,0.81,9.31,4.87,2.57,6.83,True,58.5,44.0,36.1,86.2,4.21,3.03,567.58,17.2,2419.08,Warm,61
S0197,Grove Foods,Household & Cleaning,15,Self-fulfilled,2157,11.81,25474.17,0.313,50,4.67,26.61,50.81,5.58,7.88,5.1,1.23,False,20.8,60.5,57.8,29.6,10.75,7.74,6492.57,22.1,5629.79,Low,182
S0198,Fenn Provisions,Snacks & Confectionery,6,Self-fulfilled,323,16.16,5219.68,0.335,108,4.2,1.57,3.91,15.94,3.31,3.81,4.57,True,51.6,59.2,30.3,33.6,5.25,3.78,474.81,21.8,1137.89,Warm,118
S0199,Selkie Wellness,Personal Care,25,Self-fulfilled,1485,26.45,39278.25,0.42,6,4.1,0.57,1.14,21.33,7.93,4.34,6.42,True,71.6,88.6,52.4,49.1,5.03,3.62,2093.85,30,11783.47,Hot,6
S0200,Grove Kitchen,Supplements & Vitamins,35,Self-fulfilled,4731,14.28,67558.68,0.678,85,3.83,1.24,1.88,14.56,8.57,4.55,6.67,True,82.3,78.1,69.2,96.0,5.17,3.72,6859.95,27.4,18511.08,Hot,1
S0201,Clove Collective,Supplements & Vitamins,27,FBT-already,677,23.37,15821.49,0.58,82,4.12,0.33,0.63,2.09,2.16,1.45,6.18,True,0,14.0,41.0,78.2,3.37,2.43,636.38,8.2,1297.36,Low,
S0202,Wilder Supply,Household & Cleaning,46,Self-fulfilled,3523,9.13,32164.99,0.348,117,4.45,2.16,3.32,4.08,7.93,4.87,4.23,True,61.4,56.3,64.9,36.0,5.38,3.87,5319.73,20.9,6722.48,Warm,38
S0203,Tally Labs,Supplements & Vitamins,4,3PL,598,15.09,9023.82,0.627,76,4.66,0.65,1.43,8.71,4.19,2.94,8.53,True,59.0,42.6,39.2,86.7,4.24,3.05,711.62,16.8,1516.0,Warm,53
S0204,Ember Supply,Supplements & Vitamins,13,3PL,1495,17.03,25459.85,0.482,36,4.54,0.93,2.3,11.44,5.5,3.37,2.78,True,62.0,54.9,52.5,60.4,4.3,3.1,1794.0,20.5,5219.27,Warm,37
S0205,Bramble Provisions,Snacks & Confectionery,22,Self-fulfilled,1901,14.61,27773.61,0.373,18,4.21,3.07,6.19,20.94,2.03,5.14,5.0,True,65.3,72.6,56.0,40.5,5.58,4.02,2965.56,25.8,7165.59,Warm,23
S0206,Dusk Wellness,Health Foods,22,Self-fulfilled,1442,27.86,40174.12,0.375,75,4.76,4.94,6.92,19.39,2.85,2.47,3.66,True,58.8,57.3,52.0,40.9,5.99,4.31,2422.56,21.2,8516.91,Warm,58
S0207,Nova Craft,Snacks & Confectionery,6,Self-fulfilled,169,9.19,1553.11,0.433,65,4.62,2.8,3.87,11.24,4.72,3.62,4.82,True,50.2,53.3,20.9,51.5,5.52,3.97,261.95,20.0,310.62,Warm,127
S0208,Pure Wellness,Beverages,15,3PL,1712,8.25,14124.0,0.181,96,3.92,8.94,12.34,5.53,3.94,2.2,7.59,True,43.4,31.1,54.5,5.6,6.07,4.37,2910.4,13.3,1878.49,Watch,161
S0209,Wilder Goods,Supplements & Vitamins,36,3PL,78,44.86,3499.08,0.536,118,4.24,1.18,1.69,11.02,5.06,1.85,2.79,True,47.4,44.1,9.7,70.2,4.36,3.14,95.16,17.2,601.84,Watch,141
S0210,Fenn Home,Snacks & Confectionery,4,3PL,328,15.46,5070.88,0.287,115,4.43,2.77,5.74,7.74,1.24,2.06,7.69,True,38.2,25.9,30.5,24.9,4.71,3.39,432.96,11.8,598.36,Watch,178
S0211,Halcyon Foods,Beverages,29,Self-fulfilled,337,17.83,6008.71,0.213,90,4.42,5.01,10.66,8.13,6.04,2.65,7.65,True,42.6,45.9,30.9,11.5,6.0,4.32,566.16,17.8,1069.55,Watch,164
S0212,Ember Home,Beverages,42,Self-fulfilled,410,11.68,4788.8,0.264,28,4.07,42.5,105.17,16.08,5.1,2.97,1.1,False,17.7,60.8,33.8,20.7,14.25,10.26,1635.9,22.3,1067.9,Low,190
S0213,Nimbus Provisions,Beverages,39,3PL,784,9.42,7385.28,0.221,32,4.19,11.77,14.95,10.04,5.37,3.85,3.88,True,49.5,54.3,43.1,12.9,6.69,4.82,1466.08,20.3,1499.21,Watch,128
S0214,Nova Kitchen,Health Foods,10,Self-fulfilled,3693,13.07,48267.51,0.379,59,4.84,1.63,3.63,10.08,4.07,2.58,4.2,True,58.0,43.0,65.6,41.6,5.26,3.79,5428.71,16.9,8157.21,Warm,66
S0215,Loom Provisions,Personal Care,27,3PL,693,27.61,19133.73,0.437,19,4.51,0.33,0.83,3.17,3.08,3.22,7.42,True,48.0,29.1,41.4,52.2,4.17,3.0,810.81,12.7,2429.98,Watch,139
S0216,Marlow Labs,Health Foods,42,Self-fulfilled,587,22.32,13101.84,0.484,117,3.77,4.63,6.29,10.81,1.84,3.06,3.51,True,52.7,39.7,39.0,60.7,5.92,4.26,974.42,15.9,2083.19,Warm,108
S0217,Tally Wellness,Health Foods,39,3PL,2435,22.39,54519.65,0.436,58,4.46,1.54,2.59,8.6,2.92,3.81,5.47,True,58.3,42.9,59.5,52.0,4.44,3.2,3019.4,16.9,9213.82,Warm,62
S0218,Pure & Co,Household & Cleaning,44,FBT-already,747,11.95,8926.65,0.25,99,4.24,2.53,3.21,0.9,1.72,1.48,2.88,True,0,10.2,42.4,18.2,3.86,2.78,806.76,7.1,633.79,Low,
S0219,Marlow Naturals,Personal Care,39,Self-fulfilled,1989,11.49,22853.61,0.509,86,3.62,1.13,1.41,13.43,7.69,4.81,8.71,True,71.0,74.3,56.6,65.3,5.15,3.71,2864.16,26.3,6010.5,Hot,8
S0220,Wilder Collective,Health Foods,35,3PL,1140,16.14,18399.6,0.482,107,3.89,2.49,4.94,8.01,3.37,3.38,6.73,True,55.9,40.8,48.6,60.4,4.65,3.35,1482.0,16.3,2999.13,Warm,81
